FECHA;DESCRIPCION;VALOR;ETIQUETA
28/11;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
28/11;RETIRO CORRESPONSAL CB;20000.0;NO_HORMIGA
28/11;COMISION RETIRO CORRESPONSAL;2600.0;NO_HORMIGA
29/11;Recarga de Tarjeta Civica;8000.0;NO_HORMIGA
1/12;TRANSFERENCIAS A NEQUI;66000.0;NO_HORMIGA
2/12;PAGO QR Cosechas Mont;13000.0;HORMIGA
2/12;COMPRA EN  INVERSIONE;7865.0;HORMIGA
2/12;Recarga de Tarjeta Civica;6000.0;NO_HORMIGA
4/12;PAGO QR RESTAURANTE A;13500.0;NO_HORMIGA
5/12;TRANSFERENCIAS A NEQUI;1000.0;NO_HORMIGA
5/12;TRANSFERENCIAS A NEQUI;22000.0;NO_HORMIGA
5/12;COMPRA EN  TIENDA D1;19430.0;NO_HORMIGA
5/12;COMPRA EN  INVERSIONE;10900.0;HORMIGA
9/12;TRANSFERENCIAS A NEQUI;20000.0;NO_HORMIGA
10/12;TRANSFERENCIAS A NEQUI;10000.0;NO_HORMIGA
10/12;TRANSFERENCIAS A NEQUI;5000.0;NO_HORMIGA
10/12;PAGO QR COMSOCIAL IPS;19200.0;NO_HORMIGA
10/12;PAGO QR COMSOCIAL IPS;19200.0;NO_HORMIGA
10/12;COMPRA EN  EXITO COLO;16900.0;NO_HORMIGA
11/12;PAGO QR IPA AVENTURA;7200.0;HORMIGA
11/12;COMPRA EN  TIENDA D1;5640.0;HORMIGA
11/12;COMPRA EN  EXITO COLO;28000.0;NO_HORMIGA
11/12;COMPRA EN  INVERSIONE;8450.0;HORMIGA
11/12;Recarga de Tarjeta Civica;12000.0;NO_HORMIGA
12/12;TRANSFERENCIAS A NEQUI;64000.0;NO_HORMIGA
12/12;COMPRA EN  INVERSIONE;11719.0;HORMIGA
12/12;CUOTA MANEJO TRJ DEB 12 25;11175.0;NO_HORMIGA
13/12;TRANSFERENCIAS A NEQUI;20000.0;NO_HORMIGA
13/12;TRANSF QR MARIANA GONZALEZ V;82000.0;NO_HORMIGA
13/12;COMPRA EN  BLACKSHEEP;9000.0;HORMIGA
15/12;TRANSFERENCIAS A NEQUI;28000.0;NO_HORMIGA
15/12;COMPRA EN  INVERSIONE;12340.0;HORMIGA
15/12;COMPRA EN  TIENDA D1;10090.0;HORMIGA
17/12;TRANSFERENCIAS A NEQUI;31500.0;NO_HORMIGA
17/12;COMPRA EN  TIENDA D1;19340.0;NO_HORMIGA
18/12;COMPRA EN  METRO FATE;13640.0;NO_HORMIGA
18/12;RETIRO CAJERO;20000.0;NO_HORMIGA
20/12;TRANSFERENCIAS A NEQUI;12000.0;NO_HORMIGA
20/12;COMPRA EN  FARMATODO;9930.0;NO_HORMIGA
22/12;TRANSFERENCIAS A NEQUI;8900.0;NO_HORMIGA
22/12;PAGO QR VET EL CENTAU;30000.0;NO_HORMIGA
27/12;TRANSFERENCIAS A NEQUI;25000.0;NO_HORMIGA
31/12;TRANSFERENCIAS A NEQUI;6500.0;NO_HORMIGA
8/07;COMPRA EN  TIENDAS D1;11950.0;HORMIGA
11/07;TRANSFERENCIA A NEQUI;8500.0;NO_HORMIGA
11/07;CUOTA MANEJO TRJ DEB 07 25;10650.0;NO_HORMIGA
14/07;COMPRA EN  UNIVERSIDA;3800.0;HORMIGA
14/07;COMPRA EN  ALDEA NIKK;17700.0;NO_HORMIGA
15/07;COMPRA EN  EXITO SAN;3100.0;NO_HORMIGA
15/07;Recarga de Tarjeta Civica;15000.0;NO_HORMIGA
16/07;Recarga de Tarjeta Civica;30000.0;NO_HORMIGA
17/07;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
18/07;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
18/07;Recarga de Tarjeta Civica;10000.0;NO_HORMIGA
20/07;TRANSFERENCIA A NEQUI;50000.0;NO_HORMIGA
22/07;TRANSFERENCIA A NEQUI;8900.0;NO_HORMIGA
24/07;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
25/07;COMPRA EN  HOME FOOD;17700.0;NO_HORMIGA
25/07;COMPRA EN  RECANTO EA;5300.0;HORMIGA
26/07;COMPRA EN  FARMATODO;16440.0;NO_HORMIGA
28/07;TRANSFERENCIA A NEQUI;7500.0;NO_HORMIGA
28/07;COMPRA EN  LAS HERMOS;4100.0;HORMIGA
28/07;COMPRA EN  FRISBY H30;21100.0;NO_HORMIGA
28/07;COMPRA EN  PV DOGGER;11900.0;HORMIGA
28/07;COMPRA EN  LAS HERMOS;1000.0;HORMIGA
29/07;COMPRA EN  JUMBO PREM;23750.0;NO_HORMIGA
29/07;Recarga de Tarjeta Civica;20000.0;NO_HORMIGA
30/07;COMPRA EN  UNIVERSIDA;5200.0;HORMIGA
30/07;COMPRA EN  RECANTO EA;8900.0;HORMIGA
31/07;COMPRA EN  TIENDA D1;5990.0;HORMIGA
31/07;COMPRA EN  FRISBY H30;22900.0;NO_HORMIGA
1/08;COMPRA EN  RECANTO EA;5300.0;HORMIGA
4/08;COMPRA EN  CHIPSTATIO;17700.0;NO_HORMIGA
6/08;COMPRA EN  FRISBY H30;21100.0;NO_HORMIGA
6/08;Recarga de Tarjeta Civica;6500.0;NO_HORMIGA
